"","n_FTA","unemployed","drug_abuse","n_violent_arrest","race","vprai","judge","pretrial_failure"
"81",0,0,1,0,1,2,1,NA
"82",0,0,0,0,1,2,1,NA
"83",0,0,1,0,1,2,2,0
"84",0,0,0,0,1,1,1,NA
"85",0,0,0,4,0,2,2,0
"86",0,0,0,0,0,2,1,NA
"87",0,0,1,0,0,2,1,NA
"88",1,0,0,5,0,2,1,NA
"89",0,1,0,0,1,2,1,NA
"90",0,1,0,0,1,2,2,0
"91",0,0,0,0,0,2,2,0
"92",0,1,1,0,1,2,2,0
"93",0,1,0,5,1,2,1,NA
"94",0,1,1,0,0,2,1,NA
"95",0,1,1,0,1,2,2,0
"96",0,0,0,2,1,2,2,0
"97",0,1,0,0,1,2,1,NA
"98",0,0,1,8,1,2,1,NA
"99",1,1,0,0,0,2,1,NA
"100",1,1,0,5,0,2,2,1
"101",0,0,1,0,0,2,2,0
"102",0,0,0,1,1,2,1,NA
"103",0,0,0,0,1,2,2,0
"104",0,0,1,0,1,2,2,0
"105",1,0,0,4,1,2,2,0
"106",1,0,0,0,1,2,1,NA
"107",0,1,1,1,1,2,2,0
"108",0,0,0,5,1,2,2,0
"109",0,1,0,0,1,2,1,NA
"110",0,0,0,4,1,2,2,0
"111",0,0,0,0,1,2,2,0
"112",1,0,1,0,1,1,1,NA
"113",0,0,0,0,1,2,1,NA
"114",0,0,1,2,1,2,1,NA
"115",1,0,1,0,0,1,1,NA
"116",0,1,0,0,1,2,1,NA
"117",0,0,0,0,1,2,1,NA
"118",0,0,0,4,0,2,1,NA
"119",0,0,0,0,0,2,1,NA
"120",2,0,0,5,1,2,1,NA
"121",1,1,0,0,0,2,2,0
"122",0,1,0,3,1,2,1,NA
"123",0,0,0,0,1,2,1,NA
"124",0,0,1,4,0,2,1,NA
"125",0,1,0,0,0,2,2,0
"126",0,0,0,0,0,2,1,NA
"127",0,1,0,2,0,2,1,NA
"128",0,1,1,0,1,1,1,NA
"129",0,0,1,0,1,2,1,NA
"130",0,0,1,4,0,2,2,0
"131",0,0,0,0,1,2,1,NA
"132",0,0,1,3,0,2,2,0
"133",2,0,1,5,1,1,1,NA
"134",0,1,0,0,1,2,1,NA
"135",0,1,1,5,1,1,1,NA
"136",0,0,0,3,0,2,2,0
"137",0,1,0,0,1,2,2,0
"138",0,1,0,0,1,2,2,0
"139",0,1,1,0,0,2,1,NA
"140",0,0,0,0,0,2,2,0
"141",0,0,0,0,0,2,2,0
"142",0,0,0,0,1,2,1,NA
"143",0,1,1,0,1,1,1,NA
"144",0,0,0,4,1,2,2,0
"145",0,1,0,0,0,2,2,0
"146",0,0,0,3,1,2,2,0
"147",0,1,1,0,1,2,2,0
"148",0,1,0,0,1,2,1,NA
"149",0,1,0,0,0,2,1,NA
"150",0,0,1,0,1,2,2,0
"151",0,0,0,0,0,2,2,0
"152",0,0,0,0,0,2,2,0
"153",0,0,0,5,1,2,2,0
"154",1,0,0,4,1,1,1,NA
"155",0,0,1,0,1,2,1,NA
"156",0,0,0,0,1,2,2,0
"157",0,0,0,0,1,2,1,NA
"158",0,0,0,0,1,2,1,NA
"159",0,0,0,3,0,2,2,0
"160",0,0,1,2,1,1,1,NA
"161",0,0,0,1,0,2,1,NA
"162",0,1,0,0,0,2,2,0
"163",0,1,1,0,0,2,1,NA
"164",0,0,0,5,0,2,1,NA
"165",2,1,0,6,0,1,1,NA
"166",0,0,0,0,0,2,2,0
"167",0,0,1,0,1,2,1,NA
"168",0,0,1,0,0,2,1,NA
"169",0,1,0,0,1,2,1,NA
"170",0,0,0,0,1,2,2,0
"171",0,0,0,0,0,2,2,0
"172",0,1,0,6,0,2,2,0
"173",0,0,0,2,1,2,2,0
"174",0,1,0,0,1,2,2,0
"175",0,0,0,0,0,2,2,0
"176",0,0,1,0,1,2,1,NA
"177",1,0,1,0,1,1,1,NA
"178",0,0,0,0,0,2,1,NA
"179",0,0,0,0,0,2,1,NA
"180",0,1,1,0,0,2,1,NA
"181",1,0,0,5,1,2,1,NA
"182",0,1,1,3,1,1,1,NA
"183",0,0,0,3,1,2,2,0
"184",0,1,0,6,0,2,1,NA
"185",0,1,0,0,0,2,2,0
"186",0,1,1,3,0,2,2,1
"187",0,1,0,4,1,2,2,0
"188",0,0,1,3,1,1,1,NA
"189",0,1,1,4,1,1,1,NA
"190",0,0,0,2,1,2,2,0
"191",0,0,1,7,0,2,2,1
"192",1,1,0,1,1,2,1,NA
"193",0,0,0,0,0,2,2,0
"194",1,1,1,6,0,1,1,NA
"195",0,0,0,2,1,2,2,0
"196",0,0,1,4,1,1,1,NA
"197",0,0,0,0,0,2,2,0
"198",0,0,0,0,1,2,1,NA
"199",0,0,1,0,1,1,1,NA
"200",0,0,0,2,0,2,2,0
"201",0,0,1,0,0,1,1,NA
"202",0,1,1,2,0,1,1,NA
"203",0,0,0,0,1,2,2,0
"204",0,0,1,0,1,2,1,NA
"205",0,1,0,0,1,2,2,0
"206",1,0,0,5,0,2,2,0
"207",0,1,0,2,1,2,1,NA
"208",0,0,1,2,1,2,2,0
"209",0,0,0,1,0,2,2,0
"210",0,1,0,1,1,2,1,NA
"211",0,0,0,4,1,2,1,NA
"212",0,0,0,0,0,2,2,0
"213",0,1,1,0,0,2,1,NA
"214",2,0,0,6,0,2,1,NA
"215",0,0,0,0,1,2,1,NA
"216",0,0,1,0,1,2,1,NA
"217",0,0,1,0,0,2,2,0
"218",0,0,1,0,0,2,1,NA
"219",0,0,0,0,0,2,1,NA
"220",0,1,0,0,0,2,2,0
"221",0,0,0,2,1,2,1,NA
"222",0,1,1,0,1,1,1,NA
"223",0,0,0,0,1,2,1,NA
"224",0,0,0,0,1,2,1,NA
"225",0,0,1,0,1,2,1,NA
"226",0,0,0,0,1,2,1,NA
"227",0,1,0,0,0,2,2,0
"228",0,1,0,0,1,2,1,NA
"229",0,1,0,0,1,2,2,0
"230",0,1,1,7,1,1,1,NA
"231",0,0,0,0,1,2,1,NA
"232",0,0,1,5,1,1,2,1
"233",0,0,1,5,0,1,1,NA
"234",0,1,0,0,0,2,2,0
"235",0,0,0,0,0,2,2,0
"236",0,0,0,5,0,2,1,NA
"237",0,1,1,0,1,2,1,NA
"238",0,0,0,4,1,2,1,NA
"239",0,0,0,0,1,2,2,0
"240",1,0,0,0,1,2,1,NA
"241",0,0,1,0,1,2,1,NA
"242",0,0,1,0,0,2,2,0
"243",0,0,1,0,1,2,2,0
"244",0,0,0,3,0,2,2,0
"245",0,0,0,0,0,2,2,0
"246",0,1,0,0,0,2,1,NA
"247",0,0,1,0,1,2,1,NA
"248",0,0,0,0,0,2,2,0
"249",0,0,0,0,0,2,2,0
"250",0,0,0,0,1,2,2,0
"251",0,0,0,4,0,2,2,0
"252",0,1,0,0,1,2,1,NA
"253",0,0,0,3,1,2,2,0
"254",0,0,0,0,1,2,2,0
"255",1,0,0,0,0,2,1,NA
"256",0,1,1,0,1,1,1,NA
"257",0,0,1,0,0,2,1,NA
"258",0,0,0,2,0,2,1,NA
"259",0,0,1,3,1,2,1,NA
"260",0,0,0,0,1,2,2,0
"261",0,0,0,5,1,2,2,0
"262",0,1,0,5,1,2,1,NA
"263",0,1,1,5,1,1,2,1
"264",0,0,0,6,1,1,1,NA
"265",0,0,0,0,1,2,1,NA
"266",0,0,0,0,1,2,2,0
"267",0,1,0,0,1,2,2,0
"268",0,1,0,0,0,2,2,0
"269",0,0,1,0,0,2,1,NA
"270",0,0,0,0,1,2,2,0
"271",0,0,0,0,1,2,1,NA
"272",0,0,0,0,1,2,2,0
"273",0,1,0,0,0,2,1,NA
"274",0,1,1,2,1,1,1,NA
"275",2,0,0,7,1,2,1,NA
"276",0,0,0,0,0,2,2,0
"277",0,0,1,0,0,2,2,1
"278",0,0,0,0,0,2,2,0
"279",0,0,0,0,0,2,2,0
"280",0,0,1,0,0,2,2,0
"281",0,1,0,4,1,2,1,NA
"282",2,1,0,0,1,2,2,0
"283",1,1,0,0,1,2,2,0
"284",0,0,1,0,1,2,1,NA
"285",0,0,0,2,1,2,2,0
"286",0,0,0,0,0,2,2,0
"287",0,0,1,4,0,1,1,NA
"288",0,0,1,0,0,2,2,1
"289",0,0,0,0,0,2,2,0
"290",0,1,1,2,1,2,1,NA
"291",0,0,1,0,1,1,1,NA
"292",1,0,0,0,1,2,2,0
"293",0,0,0,0,0,2,1,NA
"294",0,0,1,3,1,2,1,NA
"295",2,0,0,1,1,2,2,0
"296",0,0,0,0,1,2,1,NA
"297",0,0,0,0,1,2,2,0
"298",0,0,0,0,1,2,1,NA
"299",0,0,0,2,0,2,1,NA
"300",0,0,0,0,1,2,1,NA
"301",1,0,0,0,1,2,1,NA
"302",0,1,0,0,0,2,2,1
"303",0,1,0,0,1,2,1,NA
"304",0,0,0,0,1,2,1,NA
"305",0,1,0,5,1,2,1,NA
"306",0,0,1,0,0,2,2,0
"307",0,1,0,0,0,2,1,NA
"308",0,0,0,0,1,2,1,NA
"309",0,1,0,0,1,2,2,0
"310",0,0,0,0,1,2,2,0
"311",0,0,1,2,1,2,2,0
"312",0,1,0,0,0,2,2,0
"313",0,0,1,0,1,2,1,NA
"314",0,0,0,5,1,1,1,NA
"315",0,0,0,0,0,2,1,NA
"316",0,0,1,8,1,1,1,NA
"317",0,0,1,0,1,2,2,0
"318",0,1,0,0,1,2,2,0
"319",1,0,0,3,1,2,1,NA
"320",0,0,0,4,1,2,2,0
"321",0,0,1,7,1,1,1,NA
"322",0,0,1,1,1,2,1,NA
"323",0,0,0,0,1,2,1,NA
"324",0,1,1,4,1,2,1,NA
"325",0,1,0,0,1,2,1,NA
"326",0,0,1,4,1,2,2,0
"327",0,1,0,0,0,2,2,0
"328",0,1,1,6,1,1,1,NA
"329",0,1,0,4,1,2,2,0
"330",0,0,0,0,1,2,2,0
"331",0,0,0,6,1,1,1,NA
"332",0,0,1,4,1,2,2,0
"333",0,0,0,0,1,2,2,0
"334",0,0,0,0,0,2,1,NA
"335",0,0,1,1,0,2,1,NA
"336",0,0,0,0,0,2,2,0
"337",0,0,1,3,1,2,2,0
"338",0,0,1,0,1,2,1,NA
"339",0,1,1,8,1,2,1,NA
"340",0,0,1,0,0,2,2,0
"341",0,1,1,0,0,2,2,0
"342",0,0,1,0,1,1,2,1
"343",0,0,0,0,0,2,2,0
"344",0,0,0,0,0,2,2,0
"345",0,0,0,0,1,2,1,NA
"346",0,0,1,3,1,2,1,NA
"347",0,1,0,0,1,2,2,0
"348",0,0,0,0,0,2,2,0
"349",0,0,1,0,0,2,2,0
"350",0,0,1,0,1,2,1,NA
"351",0,1,0,0,0,2,2,1
"352",0,0,0,0,1,2,2,0
"353",0,1,0,0,1,2,2,0
"354",0,0,0,0,1,2,1,NA
"355",0,0,0,0,1,2,1,NA
"356",0,0,1,0,0,2,1,NA
"357",0,0,1,6,0,2,1,NA
"358",0,0,0,4,1,2,1,NA
"359",0,0,0,0,1,2,2,0
"360",0,1,0,2,0,2,2,0
"361",0,0,1,0,1,2,1,NA
"362",0,0,0,11,1,1,2,1
"363",0,0,0,3,1,2,1,NA
"364",0,1,0,2,0,2,2,0
"365",0,0,0,0,1,2,1,NA
"366",0,0,0,0,0,2,2,0
"367",0,0,1,5,0,2,2,0
"368",0,1,1,5,0,1,1,NA
"369",0,0,1,3,0,2,1,NA
"370",0,0,1,2,1,1,1,NA
"371",0,0,0,0,1,2,2,0
"372",0,0,0,2,1,2,1,NA
"373",0,1,0,0,1,2,1,NA
"374",0,0,0,2,1,2,1,NA
"375",0,0,1,0,1,2,2,0
"376",0,0,1,0,1,2,1,NA
"377",0,0,0,0,0,2,2,0
"378",0,0,1,1,0,2,2,0
"379",0,0,0,4,0,2,1,NA
"380",0,0,0,0,0,2,1,NA
"381",0,0,0,0,1,2,1,NA
"382",0,1,1,3,0,1,1,NA
"383",0,1,0,0,1,2,2,0
"384",0,0,0,0,1,2,1,NA
"385",0,1,0,2,1,2,1,NA
"386",0,0,0,3,1,2,1,NA
"387",2,1,0,3,1,2,2,0
"388",0,0,0,0,1,2,2,0
"389",0,0,0,3,1,2,1,NA
"390",0,1,0,0,0,2,2,0
"391",0,0,0,0,1,2,2,0
"392",0,0,0,3,1,2,2,0
"393",0,0,0,0,1,2,2,0
"394",0,1,1,0,1,2,2,0
"395",0,1,0,0,1,2,2,0
"396",0,1,1,0,0,2,2,0
"397",0,0,0,0,0,2,2,0
"398",0,0,0,0,0,2,1,NA
"399",0,0,0,0,0,2,1,NA
"400",0,0,1,0,1,2,2,0
"401",1,0,1,4,1,2,1,NA
"402",0,1,1,3,0,2,1,NA
"403",0,0,0,3,0,1,1,NA
"404",0,0,1,4,0,2,2,0
"405",0,0,0,0,0,2,1,NA
"406",0,0,1,1,0,2,2,0
"407",0,1,1,4,1,2,1,NA
"408",2,0,1,5,1,2,2,0
"409",0,0,0,0,1,2,1,NA
"410",0,0,1,0,0,2,1,NA
"411",0,0,0,0,1,2,1,NA
"412",0,0,1,4,1,1,1,NA
"413",0,0,0,3,1,2,2,0
"414",0,0,1,6,1,1,1,NA
"415",0,0,0,4,1,2,1,NA
"416",0,1,1,2,1,1,1,NA
"417",0,1,1,0,1,2,1,NA
"418",0,0,0,0,1,2,2,0
"419",0,0,1,0,1,1,1,NA
"420",0,0,1,6,1,2,1,NA
"421",0,1,1,0,1,1,1,NA
"422",0,1,0,3,1,1,1,NA
"423",0,0,0,0,1,2,2,0
"424",0,1,0,3,0,2,2,0
"425",0,0,0,0,0,2,1,NA
"426",1,1,0,5,1,2,1,NA
"427",0,0,0,0,1,2,2,0
"428",0,0,1,4,1,2,1,NA
"429",0,1,1,0,1,2,1,NA
"430",0,1,0,0,1,2,2,0
"431",0,0,1,0,0,2,1,NA
"432",0,0,0,4,0,2,2,0
"433",0,0,0,4,1,2,2,0
"434",0,1,1,3,1,1,1,NA
"435",0,0,0,0,1,2,1,NA
"436",0,0,1,0,1,2,1,NA
"437",1,1,1,5,1,2,2,0
"438",0,1,1,4,0,2,1,NA
"439",0,0,0,0,0,2,2,0
"440",2,0,0,5,1,1,1,NA
"441",0,0,1,0,1,2,2,0
"442",2,0,1,0,1,2,2,0
"443",0,1,1,7,1,1,1,NA
"444",0,0,1,8,0,2,2,1
"445",0,0,0,0,0,2,2,0
"446",0,1,1,0,1,2,2,0
"447",0,0,1,1,1,2,2,0
"448",0,0,1,0,1,2,2,0
"449",0,0,0,0,0,2,2,0
"450",0,0,0,0,1,2,2,0
"451",0,0,1,0,1,2,1,NA
"452",0,0,0,0,1,2,1,NA
"453",0,1,1,0,1,2,1,NA
"454",0,0,0,0,1,2,1,NA
"455",0,0,1,0,0,2,1,NA
"456",0,0,1,0,1,2,1,NA
"457",0,0,1,0,0,2,2,0
"458",1,0,1,6,1,1,1,NA
"459",0,0,0,5,1,2,2,0
"460",0,1,1,0,0,2,2,0
"461",2,1,1,7,0,2,2,1
"462",0,0,1,0,1,2,2,0
"463",0,0,0,0,1,2,1,NA
"464",0,1,0,0,1,2,1,NA
"465",0,1,0,0,1,2,1,NA
"466",0,1,0,5,1,2,2,0
"467",0,0,0,0,1,2,1,NA
"468",1,1,0,2,0,2,2,0
"469",0,0,1,2,0,2,2,0
"470",0,0,0,0,1,2,2,0
"471",0,0,0,0,1,2,1,NA
"472",0,0,0,0,1,2,1,NA
"473",0,0,0,0,0,2,1,NA
"474",0,1,1,0,0,2,2,0
"475",0,0,0,0,0,2,2,0
"476",0,1,0,0,1,2,1,NA
"477",0,0,0,0,1,2,2,0
"478",0,0,0,0,1,2,2,0
"479",0,0,0,0,1,2,1,NA
"480",0,0,0,0,1,2,2,0
"481",0,0,0,0,0,2,2,0
"482",0,0,1,5,1,2,1,NA
"483",1,0,1,0,1,1,1,NA
"484",0,0,0,0,1,2,2,0
"485",0,0,1,2,1,2,2,0
"486",0,0,0,0,1,2,2,0
"487",0,1,1,6,1,1,1,NA
"488",0,0,0,0,1,2,1,NA
"489",0,0,0,4,1,2,1,NA
"490",0,1,1,1,0,1,1,NA
"491",0,1,1,2,1,2,1,NA
"492",0,1,0,0,0,2,1,NA
"493",2,0,0,3,0,2,2,0
"494",0,0,0,0,0,2,2,0
"495",0,1,1,6,1,1,1,NA
"496",0,1,1,4,1,2,2,0
"497",0,0,0,0,1,2,1,NA
"498",0,0,0,0,1,2,2,0
"499",0,0,0,0,0,2,1,NA
"500",0,1,0,7,0,2,2,0
"501",0,0,0,0,0,2,2,0
"502",0,0,1,0,1,2,2,0
"503",0,0,0,0,1,2,1,NA
"504",0,0,0,5,0,2,2,0
"505",0,0,1,4,1,2,2,0
"506",0,1,0,6,1,2,1,NA
"507",0,0,0,0,1,2,1,NA
"508",0,0,0,0,1,2,2,0
"509",0,0,0,0,1,2,2,0
"510",0,0,0,0,1,2,2,0
"511",0,1,1,4,1,2,1,NA
"512",0,0,0,0,0,2,2,0
"513",0,0,1,3,0,2,2,1
"514",0,1,0,0,0,2,1,NA
"515",0,1,0,0,1,2,1,NA
"516",0,0,0,0,1,2,1,NA
"517",0,1,0,0,1,2,2,0
"518",0,0,0,3,1,2,1,NA
"519",0,0,0,0,0,2,2,0
"520",0,0,0,0,0,2,2,0
"521",0,0,0,0,0,2,2,0
"522",0,0,0,0,1,2,1,NA
"523",0,0,0,0,1,2,1,NA
"524",0,0,1,2,0,2,2,0
"525",2,0,1,5,1,1,1,NA
"526",0,0,1,0,1,2,1,NA
"527",0,1,1,0,0,2,1,NA
"528",0,0,0,0,1,2,2,0
"529",1,1,1,0,1,2,1,NA
"530",0,1,0,0,0,2,2,0
"531",0,1,0,3,1,2,2,0
"532",0,1,1,0,1,2,1,NA
"533",0,0,0,5,1,2,2,0
"534",0,0,1,1,1,2,2,0
"535",0,0,0,0,0,2,2,0
"536",0,1,1,0,1,2,2,0
"537",0,0,0,0,1,1,2,1
"538",0,0,1,0,1,2,2,0
"539",0,0,0,0,1,2,2,0
"540",0,1,0,0,1,2,2,0
"541",0,0,0,3,1,2,2,0
"542",0,0,1,0,1,2,2,0
"543",0,1,1,0,0,1,1,NA
"544",0,1,1,0,0,2,1,NA
"545",0,0,0,0,1,1,1,NA
"546",0,1,1,0,0,2,1,NA
"547",0,1,0,0,1,2,1,NA
"548",0,1,1,1,1,1,1,NA
"549",1,0,1,0,1,2,2,0
"550",0,0,0,5,0,2,2,0
"551",0,0,1,0,0,2,2,0
"552",0,1,0,7,1,2,1,NA
"553",0,1,0,0,0,2,2,0
"554",0,0,0,0,1,2,2,0
"555",0,0,1,0,1,2,1,NA
"556",1,1,0,0,1,2,2,0
"557",0,1,1,4,0,2,1,NA
"558",0,1,0,0,1,2,2,0
"559",0,0,0,0,0,2,2,0
"560",1,1,0,0,1,2,2,0
"561",0,1,1,7,0,2,2,0
"562",0,0,0,4,1,2,2,0
"563",0,0,0,7,1,2,1,NA
"564",1,0,1,4,1,2,1,NA
"565",0,1,1,3,1,1,2,1
"566",0,0,1,0,0,2,2,0
"567",0,0,1,4,1,2,2,0
"568",1,0,1,0,1,2,2,0
"569",0,1,0,0,0,2,2,0
"570",0,1,0,2,1,2,1,NA
"571",2,1,1,6,1,2,1,NA
"572",0,0,0,0,0,2,2,0
"573",0,0,1,5,0,2,2,0
"574",0,0,1,4,1,2,2,0
"575",1,0,0,0,1,1,1,NA
"576",3,0,1,7,0,2,2,1
"577",0,0,1,3,0,2,1,NA
"578",0,0,0,3,0,2,1,NA
"579",3,0,1,5,0,2,1,NA
"580",0,0,1,0,0,2,2,0
"581",0,0,1,0,0,2,2,0
"582",0,0,1,4,1,2,2,0
"583",0,0,1,8,1,2,2,0
"584",0,0,1,3,1,2,1,NA
"585",0,1,0,0,0,2,1,NA
"586",0,1,1,3,0,2,1,NA
"587",0,0,1,0,1,2,2,0
"588",0,1,1,4,0,2,2,0
"589",0,0,0,4,1,2,1,NA
"590",0,0,0,0,1,2,1,NA
"591",0,0,0,3,0,2,1,NA
"592",0,1,1,0,0,2,1,NA
"593",2,0,0,1,1,2,1,NA
"594",0,0,0,0,0,2,1,NA
"595",0,0,1,4,1,2,1,NA
"596",0,1,1,0,1,2,2,0
"597",0,0,1,3,1,1,1,NA
"598",0,0,0,0,1,2,1,NA
"599",0,0,0,0,0,2,2,1
"600",0,1,1,1,0,1,1,NA
"601",0,1,1,0,1,2,1,NA
"602",0,1,0,0,1,2,1,NA
"603",0,0,0,0,1,2,2,0
"604",0,0,0,0,0,2,1,NA
"605",0,1,1,10,1,2,2,0
"606",0,0,0,0,1,2,1,NA
"607",0,1,1,3,0,2,1,NA
"608",0,1,1,7,1,1,1,NA
"609",0,0,0,0,1,2,2,0
"610",0,1,0,0,1,2,2,0
"611",0,1,1,0,1,1,1,NA
"612",0,0,1,0,1,2,1,NA
"613",0,0,1,0,1,2,1,NA
"614",0,1,1,4,1,2,1,NA
"615",0,1,0,5,1,2,2,0
"616",0,1,1,8,0,1,1,NA
"617",0,0,1,0,1,2,1,NA
"618",0,1,0,0,0,2,1,NA
"619",0,0,1,7,1,1,1,NA
"620",0,1,0,0,1,2,2,0
"621",0,0,0,0,1,2,1,NA
"622",0,0,1,0,1,2,1,NA
"623",0,0,0,0,1,2,2,0
"624",1,1,1,4,1,1,1,NA
"625",0,0,1,0,0,2,2,0
"626",0,0,0,2,0,2,1,NA
"627",1,0,0,6,0,2,2,0
"628",0,0,0,0,1,2,1,NA
"629",0,1,1,9,1,1,1,NA
"630",0,0,0,6,1,1,2,1
"631",0,0,0,0,0,2,2,0
"632",0,1,0,0,1,2,1,NA
"633",0,0,0,4,0,2,2,0
"634",0,1,1,4,1,2,2,0
"635",0,0,0,0,1,2,1,NA
"636",0,1,0,0,0,2,1,NA
"637",0,0,1,0,0,2,2,0
"638",0,0,0,0,1,2,2,0
"639",0,0,0,0,0,2,2,0
"640",0,0,1,4,0,2,2,0
"641",0,1,0,0,1,2,1,NA
"642",0,0,0,0,1,1,1,NA
"643",0,0,0,0,1,2,2,0
"644",0,1,1,0,1,1,1,NA
"645",0,0,1,0,1,2,1,NA
"646",1,0,0,4,0,2,2,0
"647",0,0,1,0,1,1,1,NA
"648",0,1,0,0,0,2,1,NA
"649",0,1,0,0,1,1,1,NA
"650",0,1,1,4,1,1,1,NA
"651",0,0,1,0,1,2,1,NA
"652",0,0,0,0,0,2,2,0
"653",0,0,0,0,0,2,2,0
"654",0,0,1,0,1,1,1,NA
"655",0,0,1,2,0,2,1,NA
"656",0,0,1,0,0,2,2,1
"657",0,0,0,0,0,2,2,0
"658",0,0,1,0,1,1,1,NA
"659",1,0,0,9,1,2,2,0
"660",0,1,0,6,0,2,2,0
"661",0,0,0,4,1,1,2,1
"662",0,0,1,0,1,2,1,NA
"663",0,0,1,0,0,2,2,0
"664",1,0,0,4,0,2,1,NA
"665",0,0,1,0,1,2,1,NA
"666",0,1,1,2,0,2,2,0
"667",0,1,0,4,0,2,2,0
"668",0,0,0,0,1,2,1,NA
"669",0,0,0,0,0,2,1,NA
"670",0,0,0,0,1,2,2,0
"671",0,1,1,0,0,2,2,0
"672",0,1,0,3,0,2,2,0
"673",0,0,0,0,1,2,2,0
"674",0,0,1,4,0,2,2,1
"675",0,1,0,0,1,2,2,0
"676",2,0,0,3,1,2,2,0
"677",0,0,0,0,1,2,2,0
"678",0,0,0,0,1,2,1,NA
"679",0,1,1,0,0,2,1,NA
"680",0,0,0,0,1,2,2,0
"681",0,0,0,0,1,2,1,NA
"682",0,0,1,0,1,1,1,NA
"683",0,1,1,3,1,1,1,NA
"684",0,1,1,4,1,1,1,NA
"685",2,0,1,1,1,2,1,NA
"686",2,1,1,0,1,2,2,0
"687",0,0,1,0,1,2,1,NA
"688",0,1,0,2,1,2,2,0
"689",0,1,1,0,1,2,1,NA
"690",0,0,0,0,1,2,1,NA
"691",1,1,0,0,1,2,1,NA
"692",2,0,0,0,0,2,1,NA
"693",0,0,0,0,0,2,2,0
"694",0,0,0,2,0,2,2,0
"695",0,0,0,0,0,2,2,0
"696",0,0,0,0,0,2,1,NA
"697",0,0,0,0,1,2,1,NA
"698",0,0,0,0,1,2,2,0
"699",0,0,1,3,1,2,2,0
"700",2,0,1,9,0,1,2,1
"701",0,0,0,2,1,2,1,NA
"702",0,1,1,4,0,2,1,NA
"703",0,1,1,3,0,2,1,NA
"704",2,0,0,11,1,1,2,1
"705",1,0,0,0,1,2,2,0
"706",0,0,0,0,0,2,2,0
"707",0,1,0,0,0,2,1,NA
"708",1,1,0,0,1,2,2,0
"709",0,1,0,5,0,2,1,NA
"710",0,0,1,0,0,2,1,NA
"711",0,0,0,0,1,2,1,NA
"712",1,1,1,0,1,1,1,NA
